episode,episode time,episode_reward,running_reward,steps_done
0,0.7828805213794112,168.0,122.43,389
1,0.5403541754931211,84.0,58.59,645
2,0.6599322035908699,168.0,162.96,975
3,5.486652120947838,210.0,156.66,1279
4,0.46209606900811195,147.0,141.75,1504
5,0.46493165474385023,210.0,141.75,1728
6,0.5243582017719746,63.0,63.0,1986
7,0.3730026185512543,0.0,0.0,2165
8,0.3312848499044776,105.0,70.35,2322
9,0.26814649999141693,63.0,44.94,2452
10,0.4631750788539648,84.0,64.89,2679
11,0.3566120406612754,126.0,102.27,2853
12,0.6353731518611312,210.0,198.24,3161
13,0.20910988561809063,63.0,26.67,3263
14,0.8903239089995623,210.0,184.59,3673
15,0.12065373454242945,0.0,92.4,3730
16,0.8442654088139534,210.0,202.86,4147
17,0.3717363318428397,147.0,115.5,4328
18,0.37531029153615236,42.0,41.37,4509
19,0.6548712365329266,105.0,84.0,4828
20,0.600873215124011,189.0,150.36,5114
21,0.10495513398200274,0.0,86.52,5162
22,0.6059123110026121,189.0,171.99,5457
23,0.1802182588726282,21.0,38.01,5542
24,0.7214296376332641,189.0,188.37,5889
25,0.49440246261656284,84.0,57.96,6128
26,0.3392562745139003,126.0,78.12,6292
27,0.18386678490787745,42.0,24.36,6383
28,0.7580443015322089,168.0,149.1,6753
29,0.5268982890993357,84.0,65.73,7014
30,0.9190766485407948,168.0,168.0,7457
31,0.3929487010464072,105.0,69.72,7648
32,0.5031285127624869,168.0,159.18,7888
33,0.08069050218909979,21.0,110.67,7925
34,0.8374188141897321,147.0,133.98,8336
35,0.4491570461541414,105.0,93.66,8555
36,0.7265927661210299,189.0,179.13,8906
37,0.6403684485703707,126.0,106.47,9212
38,0.6493499400094151,210.0,181.65,9536
39,0.05552868917584419,0.0,144.9,9562
40,0.6340972622856498,168.0,147.84,9867
41,2.6562696183100343,63.0,48.09,10062
42,9.098505192436278,147.0,120.33,10367
43,8.163086304441094,84.0,76.65,10696
44,8.573046452365816,189.0,189.0,11047
45,7.455486643128097,126.0,93.87,11354
46,6.0858515268191695,84.0,66.36,11606
47,1.1420585811138153,0.0,37.38,11653
48,5.362820744514465,189.0,140.91,11881
49,8.64164446014911,210.0,197.82,12250
50,8.5729751419276,210.0,158.34,12605
51,3.360463843680918,42.0,27.51,12743
52,9.255817031487823,189.0,159.6,13120
53,1.063616305589676,21.0,103.53,13163
54,6.737800130620599,147.0,135.66,13448
55,3.542675521224737,42.0,42.0,13594
56,5.8749111304059625,168.0,168.0,13834
57,5.473776006139815,168.0,113.4,14061
58,2.2292926348745823,63.0,44.73,14153
59,4.292790309526026,63.0,29.82,14330
60,7.325793526135385,189.0,177.66,14631
61,5.39102378487587,126.0,95.97,14860
62,1.4594864109531045,21.0,61.95,14921
63,4.813098172657192,63.0,53.34,15119
64,5.931747109629214,126.0,119.07,15365
65,7.635188788175583,189.0,172.62,15681
